키,몸무게,머리둘레,목둘레,화장,젖가슴둘레,배꼽수준허리둘레,엉덩이둘레,샅높이,희망치수신발,윗가슴둘레(겨드랑이),허리둘레(윗허리),어깨가쪽사이길이,팔길이,등길이,다리가쪽길이,총장,(초)전투복상의,(초)전투복하의,(초)야상외피,(초)야상내피,(초)병사반코트,(초)전투모,(초)게리슨모,(초)정모,(초)동운동복,(초)춘추운동복,(초)하운동복상의,(초)하운동복하의,(초)동내의,(초)춘추내의,(초)티셔츠(런닝),(초)삼각팬티,(초)사각팬티
160.4,77.6,57,39.4,62.2,105.6,96.5,107.1,70.5,250,6.9,90,48.7,36.2,35.5,89.5,135,105-W-170,95-170,95-158,95-158,90-165,58호,58호,58호,105,105,105,105,105,105,105,105,105
159.6,57.9,55.9,36,77,83.8,78.7,93.1,72,235,86.2,76.1,49.4,52.4,35.5,89.5,135,85-W-158,80-158,85-158,85-158,90-165,56호,56호,56호,95,95,95,95,95,95,90,95,95
171.7,67.3,56.5,36.7,0,89.5,78.9,103.1,84,250,84.6,78.4,0,138.6,20,105,135,90-W-170,80-170,90-170,90-170,90-170,57호,57호,57호,95,95,95,95,95,95,90,105,105
159.6,61.4,57.8,36.5,0,87.6,80.7,100.4,71.5,230,90.2,78.9,0,152,31.5,93.5,135,90-W-158,80-158,90-158,90-158,90-165,58호,58호,58호,95,95,95,95,95,95,90,100,100
167.8,55.9,55.3,34.8,0,86.6,70.2,91.7,79,240,87.2,71.2,0,150,26.1,98.5,134.6,85-W-170,70-170,85-170,85-170,90-170,56호,56호,56호,95,95,95,95,95,95,90,90,90
160.1,59.2,53.8,36.2,70.8,97.5,77.8,99.8,72,235,86.6,77,48.9,47.7,31,91.5,132.5,95-W-158,80-158,95-158,95-158,90-165,54호,54호,54호,95,95,95,95,95,95,95,100,100
165.8,61.7,57.6,35.9,0,87.2,75.9,100.6,79,250,89.3,76.2,0,153,24.2,100.5,134.7,85-W-164,75-164,85-164,85-164,90-165,58호,58호,58호,95,95,95,95,95,95,90,100,100
153.3,52.1,55.9,33.4,0,82.4,71.6,95.1,69.5,240,81.5,72.4,0,145.9,39.3,91.5,140.8,80-W-158,70-158,80-158,80-158,90-165,56호,56호,56호,95,95,95,95,95,95,90,95,95
158.3,48.5,55.3,33.3,75.3,77.6,71.1,92.1,69.5,240,82.5,68.2,45.2,53,30,94,134,80-W-158,70-158,80-158,80-158,90-165,56호,56호,56호,95,95,95,95,95,95,90,90,90
155.7,67.3,56.3,37.5,68.1,96,87.7,106.6,65,225,96.7,85.1,45.4,44.9,33.5,86.5,130,95-W-158,90-170,95-158,95-158,95-165,57호,57호,57호,95,95,95,95,95,95,95,105,105
166.4,65.4,55.2,36.5,74.1,100.8,81.7,101.1,78,230,94.1,79.1,51.5,49.8,34,96.5,140.5,100-W-170,80-164,95-164,95-164,95-165,56호,56호,56호,100,100,100,100,100,100,100,100,100
161.8,56.6,58.1,35.2,76.1,89.1,79.8,94.6,75.5,245,90.9,74,48.7,53.4,31,94.5,135.5,90-W-164,80-164,90-164,90-164,90-165,59호,59호,59호,95,95,95,95,95,95,90,95,95
167.2,90,58.5,40.8,71,112.8,107.1,109.8,70.5,250,106.9,98.1,57.2,43.8,34.5,98,142.5,105-W-170,100-170,95-164,95-164,105-165,59호,59호,59호,115,115,115,115,115,115,115,110,110
167.2,53.3,54.7,34.4,62.3,81,68.3,90.9,80,240,81.7,69.7,48,40,29,101.5,140.5,85-W-170,70-170,85-170,85-170,90-165,55호,55호,55호,95,95,95,95,95,95,90,90,90
166.3,68.3,55.5,37.1,82.3,96.5,82,98.9,75.5,245,93.1,81.3,45.5,61.3,33,96.5,139.5,95-W-164,80-164,95-164,95-164,95-165,56호,56호,56호,95,95,95,95,95,95,95,100,100
160.7,67,53.9,37.4,68,122.9,87.2,100.7,74.5,230,96,83,47,44.9,31.5,93.5,135,105-W-170,90-170,95-158,95-158,95-165,54호,54호,54호,125,125,125,125,125,125,125,100,100
167.2,59.2,53.4,35.4,63.5,81.3,71.5,97.8,66.5,240,86.6,73.8,49,40.9,31.5,100,141.5,85-W-170,70-170,85-170,85-170,90-165,54호,54호,54호,95,95,95,95,95,95,90,100,100
166.1,57.9,52.5,35.3,60.1,82.8,73.8,94.7,71.5,250,85.5,73.5,42.7,39.1,29,101,140,85-W-164,75-164,85-164,85-164,90-165,53호,53호,53호,95,95,95,95,95,95,90,95,95
162.2,56.9,51.9,35.2,66,88.9,72.3,90.5,77,245,87.5,74.1,47.6,42.3,31,96.5,137.5,90-W-164,70-164,90-164,90-164,90-165,52호,52호,52호,95,95,95,95,95,95,90,90,90
158.5,51.4,54.7,34.3,72.8,85.2,70.1,90.5,72,225,86.4,70.4,49.2,49.1,34.5,91,135.5,85-W-158,70-158,85-158,85-158,90-165,55호,55호,55호,95,95,95,95,95,95,90,90,90
166.2,65.5,55,36.5,74.1,88.9,83.2,101.5,80,245,89.4,79.2,48.3,51.5,34.5,96.5,141,90-W-164,85-164,90-164,90-164,90-165,56호,56호,56호,95,95,95,95,95,95,90,100,100
166.4,61.7,45.2,35.9,75.5,88.3,85.5,99.6,73,245,89.2,76,49.6,51.7,36,90,136,90-W-164,85-164,90-164,90-164,90-165,52호,52호,52호,95,95,95,95,95,95,90,100,100
161.2,65.9,56.9,37.3,77.6,95.7,83.9,100.2,74.5,230,95.9,82.2,52.2,53.6,32.5,93,135.5,95-W-164,85-164,95-164,95-164,95-165,57호,57호,57호,95,95,95,95,95,95,95,100,100
162.2,65,56,36.9,62.4,93.5,83.3,96.7,74,250,91,80.7,43.6,42.7,34,91,135,95-W-164,85-164,95-164,95-164,90-165,57호,57호,57호,95,95,95,95,95,95,95,95,95
169.4,57.3,55.5,35,84.4,61.5,80.8,91.8,82.5,250,84.2,71.7,51.2,60.1,34,99,143,85-W-170,80-170,85-170,85-170,90-170,56호,56호,56호,95,95,95,95,95,95,90,90,90
162.2,47.3,53.6,33.1,60.7,75.4,64.4,88.6,78,235,77.7,64.7,47.2,36.8,26.5,98.5,135,80-W-164,65-164,85-164,85-164,90-165,54호,54호,54호,95,95,95,95,95,95,90,90,90
164.7,63.6,56.7,36.3,74.5,91.2,81,100.6,77.5,245,92.4,78.2,49.6,52.7,33.5,97.5,141,90-W-164,80-164,90-164,90-164,90-165,57호,57호,57호,95,95,95,95,95,95,90,100,100
166.7,52.3,55.2,34.3,76.8,85.6,74.1,92.6,79,0,85.1,69.3,48.3,55.6,29.5,101,140.5,85-W-164,75-164,85-164,85-164,90-165,56호,56호,56호,95,95,95,95,95,95,90,95,95
166,62.3,55.6,36,76.2,87.2,81.1,97.7,76,240,87.8,76.6,50.9,52.2,36,93,139,85-W-164,80-164,85-164,85-164,90-165,56호,56호,56호,95,95,95,95,95,95,90,100,100
165.4,65.2,54.7,36.5,63.5,90.4,82.1,100.1,73,245,89.9,79.2,43.4,42.1,33.5,97,140.5,90-W-164,80-164,90-164,90-164,90-165,55호,55호,55호,95,95,95,95,95,95,90,100,100
171.7,69.9,57.5,37,79.1,96.3,82.1,103.2,79,250,97.2,80.8,56.8,51.4,35,99.5,144.5,95-W-170,80-170,95-164,95-164,95-170,58호,58호,58호,95,95,95,95,95,95,95,105,105
